user_id,user_name,follower_count,friend_count,description,user_profile_img,user_created_at
1412406795788636161,DealVibes Gaming & Tech Retweeter,605,1,@DealVibes Gaming & Tech Retweeter,http://pbs.twimg.com/profile_images/1525134481979346944/0VPPB0FE_normal.jpg,2021-07-06 13:43:25+00:00
1453873699321364481,DealVibes Deals Retweeter,11,1,@DealVibes Deals Retweeter,http://pbs.twimg.com/profile_images/1525137187762688001/CiFqAqAc_normal.jpg,2021-10-28 23:58:20+00:00
1303375647318835202,Deal Vibes,27983,28,"Follow for New Releases in Tech, Gaming & Beyond ~ Deal Alerts ~ Restocks and Good Vibes! As an Associate/Affiliate I earn from qualifying purchases.",http://pbs.twimg.com/profile_images/1525140798034964480/0yWaVguw_normal.jpg,2020-09-08 16:52:33+00:00
2158058671,Heavyweight Domains!,1076,1192,"If you see a name you like, get in touch and let's chat!  My email: contact@heavyweightdomains.com.",http://pbs.twimg.com/profile_images/1365913219949297664/499BM1uA_normal.jpg,2013-10-27 04:20:35+00:00
117604966,Theo Hirsch,151,120,"Singer, songwriter, poet, activist and all-around lover of art and culture.",http://pbs.twimg.com/profile_images/1552387036090228736/IcHRzQQQ_normal.jpg,2010-02-26 01:51:20+00:00
1587493594662719488,•bigredcirclewelove•,1,161,"Everything, anything from Target. Target, the big circular in RED, always there to save the day, to bring out the happiness back to our feels.",http://pbs.twimg.com/profile_images/1587973260754399232/gh22rioX_normal.jpg,2022-11-01 17:16:16+00:00
6431392,Teresa | MomsWhoSave.com,111856,16734,#NorthCarolina-based #Lifestyle #Family #Food #Travel #Reviews #Blogger and #TwitterParty host | ✉ pr@momswhosave.com. Everywhere @ MomsWhoSave.,http://pbs.twimg.com/profile_images/1343333045366104065/g0RJaw5Z_normal.jpg,2007-05-30 03:26:50+00:00
1252607777433890816,Freebiz,896,2675,"Make #Money from Home with No Penny Down. 100% #FREE. Click the link https://t.co/pOiljyTN75
#Giveaway #Coupons #Discount #Money #Win #Cash #Deals #Giftcard",http://pbs.twimg.com/profile_images/1254291036937035776/X5S03Hvu_normal.jpg,2020-04-21 14:40:04+00:00
4161180381,🔥Deals. Period.🔥 #BlackFriday,12156,1444,"Sales, Price Reductions, and Daily DEALS // TWEETS MAY CONTAIN AFFILIATE LINKS WHICH SUPPORT THIS PAGE #deals #savings #Dailydeals @DealsGuys",http://pbs.twimg.com/profile_images/1153988761056927745/Bt3kT5a3_normal.jpg,2015-11-11 03:56:57+00:00
827342882147282944,GiveawayBot.us,609,472,GiveawayBot Sweepstakes are added every day. Sign in and don't miss your chance to win special giveaways! #Roblox #Amazon #Walmart #CashApp #Googleplay #Paypal,http://pbs.twimg.com/profile_images/1384508045300932612/4orsJeER_normal.jpg,2017-02-03 02:28:09+00:00
30543835,"¤ Only Free Stuff, Free Electronics & Deals",55647,40371,"Thousands of free stuff, free electronics, free cell phones, free clothes, free shoes, free computers, free gift cards, freebies and free samples to choose from",http://pbs.twimg.com/profile_images/1255090645577990144/28w0Pejd_normal.jpg,2009-04-11 22:48:06+00:00
1336486512175673344,Bounce Deals,197,1,"Supplying YOU the latest Amazon Deals & Discounts — Start saving TODAY! 
Tweets contain affiliate links 🔗

Looking for more deals? Check out @bouncesoftware",http://pbs.twimg.com/profile_images/1464755104079388673/MIg2nQm3_normal.jpg,2020-12-09 01:43:59+00:00
1579302837271535617,deals steals buys,19,334,"Finding you the deals on the internet.
Join our discord for more deals!
https://t.co/4tHQxclvHq 
@AmazonAssociate member. Tweets contain affiliate links.",http://pbs.twimg.com/profile_images/1579302910340603910/BcJiosXj_normal.png,2022-10-10 02:48:50+00:00
